id,name
l10n_co_aat_1012_1203_K,1012:1203:K
l10n_co_aat_1012_1204_K,1012:1204:K
l10n_co_aat_1012_1205_K,1012:1205:K
l10n_co_aat_1012_1110_K,1012:1110:K
l10n_co_aat_1012_1115_K,1012:1115:K
l10n_co_aat_1005_1005_I,1005:1005:I
l10n_co_aat_1005_1005_J,1005:1005:J
l10n_co_aat_1006_1006_I,1006:1006:I
l10n_co_aat_1006_1006_J,1006:1006:J
l10n_co_aat_1006_1006_K,1006:1006:K
l10n_co_aat_2276_2276_K,2276:2276:K
l10n_co_aat_2276_2276_L,2276:2276:L
l10n_co_aat_2276_2276_M,2276:2276:M
l10n_co_aat_2276_2276_N,2276:2276:N
l10n_co_aat_2276_2276_O,2276:2276:O
l10n_co_aat_2276_2276_P,2276:2276:P
l10n_co_aat_2276_2276_Q,2276:2276:Q
l10n_co_aat_2276_2276_R,2276:2276:R
l10n_co_aat_2276_2276_S,2276:2276:S
l10n_co_aat_2276_2276_T,2276:2276:T
l10n_co_aat_2276_2276_U,2276:2276:U
l10n_co_aat_2276_2276_V,2276:2276:V
l10n_co_aat_2276_2276_W,2276:2276:W
l10n_co_aat_2276_2276_X,2276:2276:X
l10n_co_aat_2276_2276_Y,2276:2276:Y
l10n_co_aat_2276_2276_Z,2276:2276:Z
l10n_co_aat_2276_2276_AA,2276:2276:AA
